OFFICIAL ELECTION RESULTS
Bucks
nameplace,Contest Name,Candidate Name,Votes,Voter Turnout
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","3","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","33.05%"
"Bedminster Twp East","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","33.05%"
"Bedminster Twp East","Bedminster Twp East Committeeman (Rep)","Philip Hall","486","33.05%"
"Bedminster Twp East","Bedminster Twp East Committeeman (Rep)","Write-in","9","33.05%"
"Bedminster Twp East","Bedminster Twp East Committeewoman (Rep)","Brenda Hall","488","33.05%"
"Bedminster Twp East","Bedminster Twp East Committeewoman (Rep)","Write-in","9","33.05%"
"Bedminster Twp West","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","278","33.95%"
"Bedminster Twp West","Presidential Electors  (Dem)","Dean Phillips","8","33.95%"
"Bedminster Twp West","Presidential Electors  (Dem)","Write-in","8","33.95%"
"Bedminster Twp West","Presidential Electors (Rep)","Nikki R. Haley","88","33.95%"
"Bedminster Twp West","Presidential Electors (Rep)","Donald J. Trump","402","33.95%"
"Bedminster Twp West","Presidential Electors (Rep)","Write-in","11","33.95%"
"Bedminster Twp West","United States Senator (Dem)","Robert P. Casey, Jr.","281","33.95%"
"Bedminster Twp West","United States Senator (Dem)","Write-in","5","33.95%"
"Bedminster Twp West","United States Senator (Rep)","Dave McCormick","466","33.95%"
"Bedminster Twp West","United States Senator (Rep)","Write-in","7","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Jack Stollsteimer","41","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Eugene DePasquale","19","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Joe Khan","178","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Keir Bradford-Grey","25","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Jared Solomon","25","33.95%"
"Bedminster Twp West","Attorney General (Dem)","Write-in","3","33.95%"
"Bedminster Twp West","Attorney General (Rep)","Dave Sunday","357","33.95%"
"Bedminster Twp West","Attorney General (Rep)","Craig Williams","108","33.95%"
"Bedminster Twp West","Attorney General (Rep)","Write-in","4","33.95%"
"Bedminster Twp West","Auditor General (Dem)","Malcolm Kenyatta","163","33.95%"
"Bedminster Twp West","Auditor General (Dem)","Mark Pinsley","115","33.95%"
"Bedminster Twp West","Auditor General (Dem)","Write-in","3","33.95%"
"Bedminster Twp West","Auditor General (Rep)","Tim DeFoor","454","33.95%"
"Bedminster Twp West","Auditor General (Rep)","Write-in","4","33.95%"
"Bedminster Twp West","State Treasurer (Dem)","Ryan Bizzarro","112","33.95%"
"Bedminster Twp West","State Treasurer (Dem)","Erin McClelland","166","33.95%"
"Bedminster Twp West","State Treasurer (Dem)","Write-in","1","33.95%"
"Bedminster Twp West","State Treasurer (Rep)","Stacy Garrity","453","33.95%"
"Bedminster Twp West","State Treasurer (Rep)","Write-in","3","33.95%"
"Bedminster Twp West","Representative in Congress (Dem)","Ashley Ehasz","284","33.95%"
"Bedminster Twp West","Representative in Congress (Dem)","Write-in","3","33.95%"
"Bedminster Twp West","Representative in Congress (Rep)","Brian Fitzpatrick","234","33.95%"
"Bedminster Twp West","Representative in Congress (Rep)","Mark Houck","270","33.95%"
"Bedminster Twp West","Representative in Congress (Rep)","Write-in","0","33.95%"
"Bedminster Twp West","Representative in the General Assembly 143rd (Dem)","Eleanor Breslin","279","33.95%"
"Bedminster Twp West","Representative in the General Assembly 143rd (Dem)","Write-in","3","33.95%"
"Bedminster Twp West","Representative in the General Assembly 143rd (Rep)","Shelby Labs","480","33.95%"
"Bedminster Twp West","Representative in the General Assembly 143rd (Rep)","Write-in","6","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","235","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","252","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","243","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","247","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Yota Palli","224","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Charles Quann","220","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","5","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.95%"
"Bedminster Twp West","Delegate to the Democratic National Convention (Dem)","Write-in","0","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Marie Miller","170","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Ellen Cox","243","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Liz Diehl","158","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Jim Worthington","377","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","David A. Christian","271","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Write-in","5","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Write-in","4","33.95%"
"Bedminster Twp West","Delegate to the Republican National Convention  (Rep)","Write-in","3","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","206","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","235","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","275","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","81","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","56","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","118","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","190","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","5","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","3","33.95%"
"Bedminster Twp West","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","3","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeeman (Rep)","Peter Benz, Sr.","215","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeeman (Rep)","David Ellis","225","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeeman (Rep)","Write-in","5","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeewoman (Rep)","Patricia Benz","295","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeewoman (Rep)","Leslie Cherico","140","33.95%"
"Bedminster Twp West","Bedminster Twp West Committeewoman (Rep)","Write-in","4","33.95%"
"Bensalem Twp Lower East #1","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","202","27.87%"
"Bensalem Twp Lower East #1","Presidential Electors  (Dem)","Dean Phillips","16","27.87%"
"Bensalem Twp Lower East #1","Presidential Electors  (Dem)","Write-in","16","27.87%"
"Bensalem Twp Lower East #1","Presidential Electors (Rep)","Nikki R. Haley","46","27.87%"
"Bensalem Twp Lower East #1","Presidential Electors (Rep)","Donald J. Trump","180","27.87%"
"Bensalem Twp Lower East #1","Presidential Electors (Rep)","Write-in","2","27.87%"
"Bensalem Twp Lower East #1","United States Senator (Dem)","Robert P. Casey, Jr.","220","27.87%"
"Bensalem Twp Lower East #1","United States Senator (Dem)","Write-in","8","27.87%"
"Bensalem Twp Lower East #1","United States Senator (Rep)","Dave McCormick","218","27.87%"
"Bensalem Twp Lower East #1","United States Senator (Rep)","Write-in","2","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Jack Stollsteimer","37","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Eugene DePasquale","12","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Joe Khan","139","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Keir Bradford-Grey","17","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Jared Solomon","24","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Dem)","Write-in","3","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Rep)","Dave Sunday","155","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Rep)","Craig Williams","66","27.87%"
"Bensalem Twp Lower East #1","Attorney General (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Auditor General (Dem)","Malcolm Kenyatta","174","27.87%"
"Bensalem Twp Lower East #1","Auditor General (Dem)","Mark Pinsley","49","27.87%"
"Bensalem Twp Lower East #1","Auditor General (Dem)","Write-in","2","27.87%"
"Bensalem Twp Lower East #1","Auditor General (Rep)","Tim DeFoor","222","27.87%"
"Bensalem Twp Lower East #1","Auditor General (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","State Treasurer (Dem)","Ryan Bizzarro","117","27.87%"
"Bensalem Twp Lower East #1","State Treasurer (Dem)","Erin McClelland","104","27.87%"
"Bensalem Twp Lower East #1","State Treasurer (Dem)","Write-in","3","27.87%"
"Bensalem Twp Lower East #1","State Treasurer (Rep)","Stacy Garrity","216","27.87%"
"Bensalem Twp Lower East #1","State Treasurer (Rep)","Write-in","2","27.87%"
"Bensalem Twp Lower East #1","Representative in Congress (Dem)","Ashley Ehasz","223","27.87%"
"Bensalem Twp Lower East #1","Representative in Congress (Dem)","Write-in","4","27.87%"
"Bensalem Twp Lower East #1","Representative in Congress (Rep)","Brian Fitzpatrick","177","27.87%"
"Bensalem Twp Lower East #1","Representative in Congress (Rep)","Mark Houck","53","27.87%"
"Bensalem Twp Lower East #1","Representative in Congress (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Representative in the General Assembly 18th (Dem)","Anand Patel","222","27.87%"
"Bensalem Twp Lower East #1","Representative in the General Assembly 18th (Dem)","Write-in","3","27.87%"
"Bensalem Twp Lower East #1","Representative in the General Assembly 18th (Rep)","Kathleen K C Tomlinson","222","27.87%"
"Bensalem Twp Lower East #1","Representative in the General Assembly 18th (Rep)","Write-in","1","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","201","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","205","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","202","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","199","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Yota Palli","190","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Charles Quann","192","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","7","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","2","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Democratic National Convention (Dem)","Write-in","1","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Marie Miller","68","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Ellen Cox","140","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Liz Diehl","60","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Jim Worthington","164","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","David A. Christian","158","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","71","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","136","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","171","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","16","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","8","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","31","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","136","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","27.87%"
"Bensalem Twp Lower East #1","Bensalem Twp Lower East 1 Committeeman (Rep)","Marc Cohen","199","27.87%"
"Bensalem Twp Lower East #1","Bensalem Twp Lower East 1 Committeeman (Rep)","Write-in","16","27.87%"
"Bensalem Twp Lower East #1","Bensalem Twp Lower East 1 Committeewoman (Rep)","Mary Ellen Cook","201","27.87%"
"Bensalem Twp Lower East #1","Bensalem Twp Lower East 1 Committeewoman (Rep)","Write-in","15","27.87%"
"Bensalem Twp Lower East #2","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","184","24.49%"
"Bensalem Twp Lower East #2","Presidential Electors  (Dem)","Dean Phillips","11","24.49%"
"Bensalem Twp Lower East #2","Presidential Electors  (Dem)","Write-in","8","24.49%"
"Bensalem Twp Lower East #2","Presidential Electors (Rep)","Nikki R. Haley","39","24.49%"
"Bensalem Twp Lower East #2","Presidential Electors (Rep)","Donald J. Trump","138","24.49%"
"Bensalem Twp Lower East #2","Presidential Electors (Rep)","Write-in","7","24.49%"
"Bensalem Twp Lower East #2","United States Senator (Dem)","Robert P. Casey, Jr.","196","24.49%"
"Bensalem Twp Lower East #2","United States Senator (Dem)","Write-in","5","24.49%"
"Bensalem Twp Lower East #2","United States Senator (Rep)","Dave McCormick","169","24.49%"
"Bensalem Twp Lower East #2","United States Senator (Rep)","Write-in","2","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Jack Stollsteimer","45","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Eugene DePasquale","7","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Joe Khan","113","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Keir Bradford-Grey","15","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Jared Solomon","18","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Dem)","Write-in","2","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Rep)","Dave Sunday","117","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Rep)","Craig Williams","65","24.49%"
"Bensalem Twp Lower East #2","Attorney General (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Auditor General (Dem)","Malcolm Kenyatta","143","24.49%"
"Bensalem Twp Lower East #2","Auditor General (Dem)","Mark Pinsley","49","24.49%"
"Bensalem Twp Lower East #2","Auditor General (Dem)","Write-in","5","24.49%"
"Bensalem Twp Lower East #2","Auditor General (Rep)","Tim DeFoor","170","24.49%"
"Bensalem Twp Lower East #2","Auditor General (Rep)","Write-in","1","24.49%"
"Bensalem Twp Lower East #2","State Treasurer (Dem)","Ryan Bizzarro","84","24.49%"
"Bensalem Twp Lower East #2","State Treasurer (Dem)","Erin McClelland","106","24.49%"
"Bensalem Twp Lower East #2","State Treasurer (Dem)","Write-in","4","24.49%"
"Bensalem Twp Lower East #2","State Treasurer (Rep)","Stacy Garrity","172","24.49%"
"Bensalem Twp Lower East #2","State Treasurer (Rep)","Write-in","1","24.49%"
"Bensalem Twp Lower East #2","Representative in Congress (Dem)","Ashley Ehasz","191","24.49%"
"Bensalem Twp Lower East #2","Representative in Congress (Dem)","Write-in","4","24.49%"
"Bensalem Twp Lower East #2","Representative in Congress (Rep)","Brian Fitzpatrick","144","24.49%"
"Bensalem Twp Lower East #2","Representative in Congress (Rep)","Mark Houck","45","24.49%"
"Bensalem Twp Lower East #2","Representative in Congress (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Representative in the General Assembly 18th (Dem)","Anand Patel","192","24.49%"
"Bensalem Twp Lower East #2","Representative in the General Assembly 18th (Dem)","Write-in","3","24.49%"
"Bensalem Twp Lower East #2","Representative in the General Assembly 18th (Rep)","Kathleen K C Tomlinson","182","24.49%"
"Bensalem Twp Lower East #2","Representative in the General Assembly 18th (Rep)","Write-in","3","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Arthur Steinberg","160","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Diane M. Ellis-Marseglia","175","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Eleanor Breslin","172","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Steven Santarsiero","166","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Yota Palli","153","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Charles Quann","154","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","6","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","4","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","3","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","3","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","2","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Democratic National Convention (Dem)","Write-in","2","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Marie Miller","61","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Ellen Cox","116","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Liz Diehl","42","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Jim Worthington","126","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","David A. Christian","136","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Write-in","3","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Delegate to the Republican National Convention  (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Mike Domanico","65","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Vanessa Maurer","103","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Kathie Doyle","136","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Khalif M. Williams, Sr.","13","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Ron Arooj","14","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Andrea Winstanley","29","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Sharon Diasio","104","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","1","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Alternate Delegate to the Republican National Convention  (Rep)","Write-in","0","24.49%"
"Bensalem Twp Lower East #2","Bensalem Twp Lower East 2 Committeeman (Rep)","Write-in","38","24.49%"
"Bensalem Twp Lower East #2","Bensalem Twp Lower East 2 Committeewoman (Rep)","Write-in","10","24.49%"
"Bensalem Twp Lower East #3","Presidential Electors  (Dem)","Joseph R. Biden, Jr.","124","17.49%"
"Bensalem Twp Lower East #3","Presidential Electors  (Dem)","Dean Phillips","10","17.49%"
"Bensalem Twp Lower East #3","Presidential Electors  (Dem)","Write-in","5","17.49%"
"Bensalem Twp Lower East #3","Presidential Electors (Rep)","Nikki R. Haley","22","17.49%"
"Bensalem Twp Lower East #3","Presidential Electors (Rep)","Donald J. Trump","118","17.49%"
"Bensalem Twp Lower East #3","Presidential Electors (Rep)","Write-in","7","17.49%"
"Bensalem Twp Lower East #3","United States Senator (Dem)","Robert P. Casey, Jr.","131","17.49%"
"Bensalem Twp Lower East #3","United States Senator (Dem)","Write-in","4","17.49%"
"Bensalem Twp Lower East #3","United States Senator (Rep)","Dave McCormick","141","17.49%"
"Bensalem Twp Lower East #3","United States Senator (Rep)","Write-in","2","17.49%"
"Bensalem Twp Lower East #3","Attorney General (Dem)","Jack Stollsteimer","23","17.49%"
"Bensalem Twp Lower East #3","Attorney General (Dem)","Eugene DePasquale","6","17.49%"
"Bensalem Twp Lower East #3","Attorney General (Dem)","Joe Khan","79","17.49%"
"Bensalem Twp Lower East #3","Attorney General (Dem)","Keir Bradford-Grey","16","17.49%"
